species,LIB030.A0117,SYN001.A0101,SYN002.A0101,SYN003.A0101,SYN005.I0101,SYN006.I0101,SYN008.I0101,SYN009.I0101,SYN012.I0101,SYN013.I0101,SYN014.A0101,SYN014.C0101,SYN015.B0101,SYN015.D0101,SYN015.E0101,SYN015.F0101,SYN015.G0101,SYN015.H0101,SYN015.I0101,SYN016.I0101,SYN017.A0101,SYN017.B0101,SYN017.D0101,SYN017.E0101,SYN017.F0101,SYN017.G0101,SYN018.C0101,SYN018.H0101,SYN018.I0101,SYN019.I0101,SYN021.I0101,SYN022.I0101,SYN023.I0101,SYN025.I0101,SYN026.I0101,SYN028.I0101
Candidatus Riesia pediculischaeffi,NA,2,1,NA,4,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,3,5,1,1
Pseudescherichia vulneris,NA,2,2,4,50,5,5,89,59,2,NA,77,8,182,107,43,2,5,128,18,NA,NA,67,80,36,7,3,1,1,57,24,42,94,47,3,67
Scandinavium goeteborgense,NA,2,3,2,1,2,2,3,13,NA,1,3,2,1,NA,2,NA,NA,1,1,3,3,NA,NA,1,NA,5,NA,1,3,NA,5,6,4,1,5
Serratia marcescens,NA,30,36,38,14,17,4,19,45,12,10,1,11,3,7,17,5,12,14,23,8,7,3,9,7,2,32,2,6,24,18,22,30,30,17,22
Serratia sp. ATCC 39006,NA,9,14,13,6,1,74,14,14,2,13,2,29,2,3,9,8,11,6,6,24,11,9,NA,6,4,17,3,32,6,18,9,13,13,43,11
Serratia sp. FDAARGOS_506,NA,2,2,3,9,3,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,2,3,NA,2,1
Serratia sp. FGI94,NA,1,NA,NA,1,3,NA,7,10,NA,3,2,7,47,24,71,4,4,2,NA,NA,3,63,122,27,2,4,NA,NA,NA,2,1,5,3,1,2
Serratia sp. KUDC3025,NA,1,2,3,25,9,1,13,9,NA,NA,NA,4,NA,1,3,NA,2,16,1,34,3,NA,NA,NA,NA,11,NA,NA,78,2,7,11,49,22,25
Serratia symbiotica,NA,9,11,13,24,12,7,34,19,2,15,3,16,2,6,12,3,1,9,2,28,14,7,10,2,3,19,NA,10,74,10,13,17,69,12,24
Serratia fonticola,NA,6,7,9,43,34,52,54,51,36,5,36,13,11,11,24,4,6,50,50,13,13,18,6,12,5,52,42,10,51,31,49,39,64,32,52
Serratia proteamaculans,NA,5,3,4,10,NA,NA,10,4,NA,NA,9,1,14,3,5,NA,NA,25,6,1,NA,10,9,3,1,1,NA,NA,5,3,7,13,6,1,11
Serratia odorifera,NA,4,3,NA,14,3,NA,19,25,NA,NA,13,NA,53,37,17,NA,1,26,11,NA,NA,12,13,5,3,1,NA,NA,19,6,11,25,20,2,19
Serratia grimesii,NA,3,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,1,3
Serratia plymuthica,NA,2,4,23,7,8,17,6,7,2,3,5,NA,NA,NA,2,NA,1,6,8,1,3,5,2,3,1,12,NA,3,2,3,4,4,1,NA,8
Serratia surfactantfaciens,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA
Serratia liquefaciens,NA,1,4,NA,10,1,NA,17,8,2,1,10,1,16,5,6,NA,2,18,3,1,2,9,9,8,NA,NA,NA,NA,7,5,8,16,4,NA,17
Serratia rubidaea,NA,1,NA,4,3,NA,5,2,4,27,1,1,NA,2,4,20,50,53,6,25,NA,1,5,7,73,70,1,69,6,4,1,4,2,7,3,4
Serratia quinivorans,NA,1,NA,1,33,10,NA,21,29,1,NA,1,NA,4,5,8,NA,1,65,2,NA,NA,2,7,NA,NA,5,NA,NA,6,NA,9,54,5,10,86
Yersinia pseudotuberculosis,NA,30,31,10,20,5,3,27,21,1,5,1,2,1,2,1,1,1,41,2,36,10,1,3,3,NA,8,NA,1,29,6,12,32,12,8,53
Yersinia entomophaga,NA,13,10,20,1,NA,NA,NA,NA,1,4,NA,1,1,NA,1,NA,NA,NA,NA,15,7,NA,NA,NA,1,2,1,NA,1,NA,1,NA,1,NA,3
Yersinia enterocolitica,NA,8,5,6,6,4,54,51,37,7,3,2,11,2,7,9,3,3,23,10,1,3,3,1,6,2,4,7,5,20,11,31,9,16,9,11
Yersinia kristensenii,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
Yersinia aldovae,NA,1,1,NA,67,56,50,35,36,74,1,3,1,3,2,4,1,10,36,74,NA,1,4,20,11,3,10,75,102,NA,3,27,117,44,15,47
Yersinia rohdei,NA,1,5,1,4,NA,4,12,29,2,2,1,6,4,1,6,3,4,11,7,NA,3,5,17,NA,NA,3,NA,1,16,4,13,6,12,8,23
Yersinia ruckeri,NA,1,2,1,NA,2,12,1,1,NA,NA,NA,2,5,NA,NA,NA,1,2,NA,2,1,NA,1,NA,NA,3,NA,NA,1,1,3,2,8,3,2
Yersinia mollaretii,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,4,1,1,NA,NA,1,NA,1,8,NA,NA,1,1,NA,NA,NA,1,NA,NA,3,1
Yersinia canariae,NA,1,NA,NA,8,6,NA,10,7,10,NA,NA,NA,NA,NA,NA,NA,4,4,12,5,2,1,1,NA,NA,4,14,3,17,1,3,10,13,5,10
Rahnella aquatilis,NA,6,4,7,NA,1,1,18,3,7,2,1,2,1,2,5,5,NA,6,44,1,NA,NA,5,3,NA,1,2,2,7,1,8,5,9,6,3
Rahnella sp. ERMR1:05,NA,2,2,4,16,7,NA,17,14,7,3,3,4,16,7,16,3,1,26,8,NA,1,10,53,22,1,NA,12,1,2,NA,10,22,2,7,24
Ewingella americana,NA,11,10,13,6,4,NA,4,19,4,2,4,10,6,4,8,6,1,7,7,7,5,1,4,1,6,14,9,4,NA,2,5,6,14,1,7
Rouxiella badensis,NA,9,28,60,1,1,NA,NA,2,NA,8,NA,2,1,NA,NA,NA,NA,4,NA,5,2,NA,NA,2,NA,18,NA,NA,2,1,3,NA,2,2,3
Gibbsiella quercinecans,NA,4,8,15,5,3,1,9,2,NA,3,3,1,7,7,2,NA,1,15,1,6,2,11,6,6,2,16,NA,3,4,4,8,8,6,NA,7
Chania multitudinisentens,NA,3,5,2,3,2,3,3,1,NA,NA,NA,NA,NA,3,3,NA,NA,1,1,NA,1,2,4,NA,NA,1,NA,1,4,1,NA,6,5,NA,1
Nissabacter sp. SGAir0207,NA,2,7,4,11,4,2,3,8,1,1,NA,4,59,22,94,8,NA,6,5,3,NA,63,142,42,4,1,NA,1,16,1,10,4,9,2,13
Pantoea ananatis,NA,32,42,58,3,1,2,7,7,2,1,NA,NA,NA,1,2,NA,NA,7,4,8,3,NA,1,5,2,8,NA,1,8,NA,1,10,11,3,6
Pantoea agglomerans,NA,27,45,62,5,24,103,36,6,68,36,11,47,24,6,6,2,15,17,46,14,13,18,9,5,3,33,91,4,28,8,24,17,46,8,27
Pantoea sp. 201603H,NA,7,3,4,13,8,NA,37,33,2,2,NA,1,2,NA,7,3,2,4,NA,6,3,2,NA,2,2,1,1,1,27,10,11,16,19,17,8
Pantoea sp. At-9b,NA,4,11,5,3,4,1,3,2,3,4,5,3,10,5,20,3,3,6,6,5,4,17,27,12,4,2,1,2,NA,1,1,3,1,4,8
Pantoea sp. MSR2,NA,4,7,4,15,6,NA,12,16,1,2,1,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,2,1,NA,4,1,7,20,4,1,22
Pantoea sp. PSNIH1,NA,3,NA,4,1,2,NA,3,2,NA,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,1,NA,NA,2,NA,1,NA,NA,2,NA,1,10,8,5,6
Pantoea sp. SO10,NA,2,3,2,NA,1,NA,4,1,9,2,NA,3,NA,1,NA,1,4,2,NA,NA,2,NA,NA,NA,NA,1,10,NA,1,NA,NA,4,7,3,4
Pantoea cypripedii,NA,7,8,6,30,20,16,27,50,5,3,8,10,2,5,13,4,NA,66,6,11,3,8,4,2,NA,16,NA,3,31,23,32,53,26,22,58
Pantoea alhagi,NA,7,12,12,5,1,NA,4,NA,NA,6,1,1,NA,2,3,1,NA,1,NA,21,17,1,2,2,NA,6,NA,1,5,3,3,NA,NA,5,5
Pantoea stewartii,NA,6,21,59,64,19,58,128,84,8,15,63,23,127,25,50,6,4,149,32,4,6,90,65,42,10,16,3,22,80,32,66,133,69,58,91
Pantoea dispersa,NA,5,10,13,12,53,NA,76,43,39,3,9,34,53,32,86,4,19,21,45,3,7,47,130,31,8,21,61,NA,18,14,24,10,42,35,30
Pantoea vagans,NA,5,6,13,27,14,8,76,34,19,4,59,16,138,83,83,3,12,106,35,4,4,102,136,60,10,5,29,1,54,6,37,75,44,2,59
Pantoea eucalypti,NA,2,6,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,7,7,3,2
Candidatus Pantoea carbekii,NA,1,1,NA,1,1,2,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,4,4,NA,2,2,1,1,2
Buchnera aphidicola,NA,39,29,50,47,59,124,59,87,76,57,19,161,41,7,31,110,119,44,97,69,63,39,37,99,61,93,120,233,114,48,55,117,203,80,114
Erwinia persicina,NA,8,6,6,8,4,17,9,23,3,3,4,4,2,3,2,5,2,11,11,1,1,1,NA,3,NA,1,NA,10,1,8,7,2,13,4,7
Erwinia sp. QL-Z3,NA,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erwinia sp. Ejp617,NA,2,3,11,2,1,45,NA,NA,NA,15,3,10,NA,4,2,1,NA,2,2,7,18,NA,3,NA,NA,23,NA,55,NA,NA,NA,4,2,NA,NA
Erwinia sp. J780,NA,2,2,2,1,18,55,4,11,1,7,3,18,18,5,5,1,1,6,NA,3,3,18,2,1,NA,7,NA,NA,9,4,5,19,20,13,22
Candidatus Erwinia haradaeae,NA,6,8,17,8,9,56,8,5,14,22,6,15,13,4,1,23,23,9,12,21,27,18,4,21,25,30,25,29,13,12,8,11,24,20,14
Erwinia pyrifoliae,NA,2,2,2,1,NA,NA,4,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
Erwinia billingiae,NA,2,1,4,1,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,5,NA,1
Erwinia gerundensis,NA,2,3,5,4,4,3,1,3,1,1,NA,NA,2,2,2,1,1,2,1,NA,1,1,5,1,NA,2,NA,5,3,NA,4,1,2,3,7
Erwinia amylovora,NA,1,NA,6,4,5,NA,18,1,34,1,NA,NA,10,5,25,NA,17,NA,32,1,NA,7,14,13,5,1,77,NA,1,NA,14,2,21,NA,11
Tatumella ptyseos,NA,7,9,6,42,8,7,99,56,5,NA,70,3,141,87,34,9,8,146,28,NA,1,79,87,46,5,5,6,NA,64,19,70,99,42,3,54
Tatumella citrea,NA,5,4,6,3,1,12,5,19,NA,NA,NA,6,36,21,60,NA,1,7,2,NA,2,41,124,32,2,NA,1,4,5,2,6,4,4,2,4
Tatumella sp. TA1,NA,4,NA,2,2,NA,4,1,2,2,NA,NA,3,NA,NA,1,1,NA,2,1,4,2,NA,1,1,3,1,7,1,NA,NA,NA,2,NA,2,1
Mixta theicola,NA,2,2,5,34,10,2,17,20,NA,4,2,1,2,2,2,NA,1,15,1,28,5,NA,3,3,NA,7,NA,1,109,8,8,34,50,26,33
Mixta calida,NA,1,1,2,30,25,7,15,36,2,NA,1,1,1,2,2,NA,7,56,1,1,NA,NA,1,1,NA,4,NA,3,2,1,15,38,6,6,72
Mixta gaviniae,NA,1,NA,4,NA,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Providencia alcalifaciens,NA,21,20,20,54,81,NA,56,92,68,1,3,1,3,1,3,21,25,58,88,10,4,6,14,16,10,2,26,84,4,15,13,127,22,12,48
Providencia rettgeri,NA,18,37,48,17,19,80,11,8,3,32,11,43,71,39,84,3,1,18,2,32,65,62,120,27,3,26,2,7,23,7,16,11,37,38,15
Providencia heimbachae,NA,12,28,13,14,11,6,14,66,4,5,5,5,14,7,17,10,5,17,7,7,6,12,28,10,1,6,1,11,3,12,22,12,17,9,7
Providencia stuartii,NA,2,3,1,19,8,2,12,63,2,4,2,2,1,3,11,3,4,15,15,NA,4,5,4,1,2,NA,NA,7,7,8,39,27,5,9,19
Providencia sneebia,NA,2,3,10,8,24,134,8,11,3,19,5,40,48,8,42,4,3,9,7,17,7,49,64,22,2,22,1,4,26,7,16,10,33,23,11
Providencia huaxiensis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proteus vulgaris,NA,13,23,17,26,23,5,21,22,39,5,2,19,3,NA,5,2,13,19,25,20,14,6,9,8,3,15,38,6,12,6,17,48,35,4,36
Proteus mirabilis,NA,7,7,4,20,13,55,34,21,66,16,4,20,3,8,10,11,30,21,55,19,12,1,4,11,17,16,109,10,6,20,39,11,39,42,21
Proteus penneri,NA,1,4,3,4,4,10,7,15,2,12,1,8,2,2,4,1,2,10,7,15,35,NA,1,2,NA,7,NA,2,3,4,4,5,1,4,3
Proteus hauseri,NA,1,8,1,NA,NA,NA,2,4,1,2,4,15,4,1,1,NA,NA,7,NA,17,6,NA,1,NA,1,10,2,6,8,2,6,3,8,4,3
Arsenophonus nasoniae,NA,12,27,15,4,1,4,3,5,2,2,1,4,3,6,4,2,3,4,2,7,1,NA,NA,1,2,2,1,NA,4,NA,3,2,1,1,NA
Arsenophonus endosymbiont of Aleurodicus dispersus,NA,10,NA,10,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xenorhabdus nematophila,NA,6,4,5,NA,4,NA,3,7,NA,NA,3,11,1,NA,NA,NA,2,3,2,5,NA,NA,NA,1,NA,2,NA,1,5,1,2,2,5,NA,6
Xenorhabdus bovienii,NA,4,4,2,2,4,2,5,7,4,NA,4,11,1,2,5,1,2,7,3,2,9,2,2,1,NA,7,18,2,6,NA,4,4,7,NA,2
Xenorhabdus poinarii,NA,1,1,NA,52,60,NA,54,83,70,1,1,NA,1,NA,NA,5,2,77,93,1,1,9,10,9,2,2,4,33,1,5,22,132,6,12,32
Xenorhabdus budapestensis,NA,1,3,5,38,47,NA,19,41,31,NA,NA,3,2,2,NA,1,6,30,38,1,1,2,3,8,1,5,12,18,3,4,10,101,15,12,27
Xenorhabdus doucetiae,NA,1,3,5,5,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,NA,1,2,1,1,NA,NA,1,1,1,3,1,2,3,3,1
Xenorhabdus hominickii,NA,1,NA,2,NA,NA,1,1,3,NA,NA,NA,1,3,3,2,1,NA,NA,NA,1,NA,3,8,4,2,1,3,NA,NA,NA,1,3,3,NA,1
Morganella morganii,NA,5,7,12,44,22,45,19,11,3,NA,1,4,6,8,7,1,4,12,15,4,1,8,10,5,NA,14,3,131,8,4,13,34,16,9,47
Photorhabdus thracensis,NA,2,NA,4,4,3,1,11,7,3,NA,1,NA,1,2,1,4,5,5,4,4,2,NA,1,5,5,NA,14,NA,NA,2,4,4,5,NA,6
Photorhabdus asymbiotica,NA,2,1,3,NA,2,NA,11,3,11,3,NA,3,1,NA,2,NA,7,NA,11,NA,3,NA,1,1,NA,11,25,2,3,1,4,12,6,1,1
Brenneria goodwinii,NA,37,48,19,16,4,1,15,14,1,3,17,4,25,9,3,4,3,22,3,2,NA,16,16,15,4,5,2,NA,31,2,10,31,15,6,24
Brenneria rubrifaciens,NA,2,2,1,NA,1,5,1,5,1,1,1,2,2,1,2,2,NA,4,2,2,4,NA,6,NA,NA,6,NA,1,1,3,1,10,4,1,1
Brenneria sp. Ir50,NA,1,2,2,1,NA,NA,NA,1,NA,NA,1,NA,1,3,3,NA,NA,3,NA,2,NA,1,8,NA,NA,1,NA,NA,NA,NA,6,NA,1,2,4
Dickeya dadantii,NA,6,6,7,13,12,5,9,23,NA,5,4,26,9,3,12,5,1,5,4,5,15,6,4,3,1,48,1,4,78,14,16,13,15,37,21
Dickeya dianthicola,NA,6,6,13,15,3,1,12,11,1,4,NA,NA,NA,NA,2,NA,1,9,NA,5,2,2,2,NA,NA,4,NA,2,14,NA,10,26,17,8,12
Dickeya zeae,NA,6,6,8,92,26,95,172,115,6,3,122,14,175,49,66,10,7,216,43,7,6,147,115,79,11,11,2,89,92,31,84,162,73,23,100
Dickeya sp. NCPPB 3274,NA,3,19,30,2,2,NA,1,17,NA,3,1,20,3,1,6,NA,1,2,1,2,8,1,NA,1,NA,17,NA,NA,4,1,1,10,10,1,13
Dickeya sp. MK7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickeya paradisiaca,NA,3,6,6,15,6,2,51,12,49,NA,17,4,19,23,6,1,22,32,52,NA,2,21,18,11,4,NA,102,2,15,10,28,25,28,6,43
Dickeya chrysanthemi,NA,2,4,7,60,19,9,82,58,5,1,101,11,124,45,43,7,2,139,28,6,8,71,71,43,4,12,1,NA,80,10,51,84,59,9,93
Dickeya fangzhongdai,NA,2,2,2,NA,1,2,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,2,2,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,2,2,1
Dickeya poaceiphila,NA,1,1,2,23,17,NA,16,11,11,5,NA,3,NA,7,13,6,13,65,14,11,22,5,4,4,NA,13,9,47,15,21,45,20,46,35,48
Dickeya solani,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,1
Pectobacterium parmentieri,NA,4,3,3,2,2,2,3,5,2,2,NA,5,NA,1,3,2,4,2,NA,3,1,3,1,NA,1,1,2,NA,5,1,NA,NA,6,2,3
Pectobacterium brasiliense,NA,3,8,6,2,NA,NA,7,NA,4,NA,1,NA,1,1,NA,3,6,3,6,1,NA,1,NA,NA,1,2,5,NA,3,NA,6,3,7,6,8
Pectobacterium wasabiae,NA,2,4,1,NA,1,NA,2,5,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,1,5,4,3,5
Pectobacterium carotovorum,NA,1,6,1,17,2,84,26,35,5,2,1,3,36,22,50,5,5,7,12,4,4,30,81,22,2,13,1,5,2,8,7,18,4,6,15
Pectobacterium atrosepticum,NA,1,NA,NA,3,1,31,11,14,NA,4,7,12,3,3,16,1,2,17,2,NA,12,5,7,NA,NA,4,2,NA,11,4,24,6,8,2,4
Pectobacterium versatile,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
Lonsdalea populi,NA,2,3,6,28,19,22,27,35,3,1,5,10,3,6,21,1,1,31,7,11,11,8,6,3,NA,13,NA,2,44,20,28,18,44,26,23
Edwardsiella piscicida,NA,13,20,34,NA,NA,NA,NA,NA,NA,4,1,3,NA,NA,NA,NA,1,NA,NA,4,5,NA,NA,NA,NA,12,NA,NA,NA,NA,1,1,NA,NA,1
Edwardsiella ictaluri,NA,9,13,14,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,1,1,NA,1,NA,2,4,1,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA
Edwardsiella tarda,NA,8,6,14,83,40,1,87,88,8,3,59,3,97,28,18,9,4,159,34,5,4,62,57,38,8,9,1,2,56,16,55,150,46,16,180
Edwardsiella hoshinae,NA,8,10,30,NA,1,1,2,3,NA,3,2,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,2,NA,6,1,5,2,NA,2,5,9,2,8
Hafnia paralvei,NA,6,4,2,11,7,NA,10,13,3,1,NA,3,3,NA,1,12,13,13,4,1,NA,8,2,2,1,2,9,6,8,3,8,16,8,6,15
Hafnia alvei,NA,2,1,4,NA,NA,NA,17,19,NA,NA,NA,NA,NA,2,2,NA,1,5,2,1,NA,1,1,1,1,NA,1,NA,3,7,6,4,6,3,3
Candidatus Sodalis pierantonius,NA,4,1,3,3,2,1,4,6,6,2,4,1,12,10,16,7,4,8,2,1,1,9,16,8,3,2,2,NA,12,4,4,8,6,7,10
Sodalis endosymbiont of Henestaris halophilus,NA,4,7,11,8,2,NA,NA,1,NA,NA,2,9,1,1,1,NA,NA,NA,NA,NA,1,2,6,2,NA,NA,NA,NA,3,2,1,1,3,2,4
Sodalis praecaptivus,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,2
Limnobaculum parvum,NA,4,NA,4,NA,NA,NA,5,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,3,1,NA,5,NA,NA,NA,NA,NA,1,1,3,8,6,4,12
Pragia fontium,NA,3,6,3,NA,NA,NA,2,1,2,NA,1,3,NA,NA,1,NA,2,1,1,5,1,7,1,NA,NA,3,NA,3,NA,NA,1,1,5,1,2
Jinshanibacter zhutongyuii,NA,2,4,3,12,6,17,13,33,NA,3,3,19,19,3,10,2,3,48,3,3,6,4,1,5,1,7,NA,41,29,6,23,31,6,5,38
Plesiomonas shigelloides,NA,5,9,5,2,6,NA,18,12,39,1,NA,4,NA,2,NA,1,9,8,26,5,1,3,NA,NA,3,3,51,2,5,4,11,22,16,1,11
Marinobacter hydrocarbonoclasticus,NA,28,22,43,46,26,56,65,70,10,3,68,11,88,40,38,5,4,85,42,12,7,52,66,26,3,16,2,13,32,31,59,77,33,6,66
Marinobacter sp. CP1,NA,10,31,52,2,NA,NA,4,3,NA,6,NA,2,NA,1,NA,NA,NA,NA,NA,5,7,NA,NA,1,NA,7,NA,NA,1,NA,NA,1,NA,NA,1
Marinobacter sp. LV10R510-11A,NA,5,NA,2,4,1,NA,5,2,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,1,1,NA,NA,3,NA,1,NA,NA,18,1,3,3,14,1,3
Marinobacter sp. Arc7-DN-1,NA,3,2,3,NA,NA,2,2,1,NA,NA,1,NA,2,4,7,NA,1,2,1,NA,NA,1,4,1,NA,1,NA,NA,1,NA,1,3,3,NA,2
Marinobacter sp. LQ44,NA,2,NA,1,NA,NA,NA,1,NA,NA,1,1,2,11,10,34,1,1,NA,NA,NA,NA,29,49,15,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1
Marinobacter sp. JH2,NA,2,3,1,22,28,NA,24,29,12,NA,NA,1,2,2,2,1,6,54,14,NA,NA,2,1,4,1,4,10,4,4,10,22,50,10,7,56
Marinobacter sp. LPB0319,NA,2,2,8,20,5,1,6,11,1,1,2,5,2,3,NA,NA,NA,6,1,17,4,NA,1,NA,NA,9,NA,NA,56,3,2,16,37,12,16
Marinobacter sp. BSs20148,NA,1,3,4,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,2,NA,2,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,NA,NA
Marinobacter sp. es.042,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marinobacter sp. NP-4(2019),NA,1,2,1,NA,1,NA,3,4,1,NA,NA,3,47,22,72,1,1,1,NA,1,NA,54,127,36,NA,4,NA,1,NA,3,NA,NA,1,NA,1
Marinobacter salinus,NA,3,8,9,49,13,4,90,44,2,NA,64,4,98,12,43,5,6,144,27,NA,1,70,60,31,6,13,NA,1,70,14,60,99,45,5,82
Marinobacter fonticola,NA,3,8,5,27,19,125,80,105,21,13,11,29,12,22,33,6,19,42,40,9,15,14,38,14,5,19,33,74,21,31,89,39,58,23,30
Marinobacter salarius,NA,2,2,2,1,2,NA,5,11,1,NA,1,NA,NA,NA,2,1,1,5,2,1,2,NA,2,NA,1,NA,1,NA,5,2,2,4,9,4,9
Marinobacter salsuginis,NA,1,1,1,48,14,5,73,35,5,NA,66,8,83,18,29,9,3,118,17,3,1,57,53,32,4,1,NA,1,54,12,37,70,42,4,59
Marinobacter adhaerens,NA,1,1,3,5,1,NA,1,3,1,1,4,NA,6,13,4,1,NA,1,3,NA,NA,2,3,3,NA,NA,NA,NA,5,1,3,2,1,1,7
Alteromonas sp. BL110,NA,7,18,16,NA,NA,NA,1,5,NA,21,NA,5,30,17,52,2,1,2,1,43,55,42,104,31,NA,21,NA,NA,1,NA,1,1,2,5,NA
Alteromonas sp. RKMC-009,NA,4,7,1,44,12,24,72,61,5,NA,61,6,133,29,42,3,4,133,24,NA,2,82,70,31,4,5,2,NA,53,14,37,97,44,6,73
Alteromonas sp. 76-1,NA,2,4,1,8,4,41,22,67,3,3,3,12,1,4,14,3,4,31,10,NA,1,2,4,3,1,2,NA,8,5,10,36,4,8,5,10
Alteromonas macleodii,NA,7,14,6,21,66,2,65,56,75,1,4,7,15,4,5,13,19,41,88,16,7,27,15,22,13,6,72,16,14,10,29,67,38,14,28
Alteromonas stellipolaris,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Alteromonas mediterranea,NA,1,3,1,1,7,3,14,2,22,10,4,17,49,29,68,4,4,7,28,42,3,41,131,42,3,24,31,3,1,3,13,3,13,1,5
Alteromonas naphthalenivorans,NA,1,1,1,1,1,1,2,NA,9,NA,NA,NA,NA,NA,NA,NA,4,NA,3,2,NA,NA,NA,1,4,NA,7,NA,NA,NA,NA,2,2,NA,3
Alteromonas pelagimontana,NA,1,5,1,2,2,3,10,7,13,6,2,8,4,1,2,NA,4,10,4,1,6,1,NA,NA,2,13,30,4,5,2,16,12,14,6,5
Catenovulum sp. CCB-QB4,NA,23,23,26,7,2,NA,7,1,12,5,2,1,NA,1,NA,NA,3,1,14,30,31,1,1,6,1,12,15,12,4,NA,3,3,25,25,14
Catenovulum sediminis,NA,5,NA,1,11,6,6,4,NA,1,2,NA,1,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,4,2,3,NA,1,NA,7,11,9,2
Salinimonas lutimaris,NA,3,NA,5,37,49,9,30,47,43,3,2,8,2,1,2,1,7,43,70,1,NA,7,10,4,NA,2,30,19,3,4,13,80,14,13,20
